2,3,-1
5,6,-1
5,7,-1
9,10,-1
12,13,-1
17,18,-1
17,19,-1
16,17,-1
15,16,-1
14,15,-1
12,14,-1
11,12,-1
9,11,-1
8,9,-1
20,21,-1
23,24,-1
26,27,-1
26,28,-1
26,19,-1
25,26,-1
29,30,-1
29,28,-1
29,19,-1
25,29,-1
23,25,-1
22,23,-1
20,22,-1
8,20,-1
5,8,-1
4,5,-1
2,4,-1
1,2,-1
32,33,-1
35,36,-1
35,37,-1
39,40,-1
39,41,-1
39,22,-1
38,39,-1
42,43,-1
42,11,-1
38,42,-1
44,45,-1
47,48,-1
47,25,-1
46,47,-1
44,46,-1
38,44,-1
35,38,-1
34,35,-1
49,50,-1
49,7,-1
49,8,-1
34,49,-1
32,34,-1
31,32,-1
51,52,-1
51,4,-1
31,51,-1
