2,3,-1
2,1,-1
1,2,-1
4,3,-1
8,1,-1
7,8,-1
9,5,-1
7,9,-1
6,7,-1
6,10,-1
12,1,-1
12,10,-1
11,12,-1
13,5,-1
13,10,-1
11,13,-1
6,11,-1
5,6,-1
16,17,-1
16,1,-1
15,16,-1
18,17,-1
18,5,-1
15,18,-1
19,20,-1
19,21,-1
15,19,-1
14,15,-1
14,22,-1
14,23,-1
5,14,-1
24,15,-1
24,22,-1
24,25,-1
5,24,-1
26,15,-1
26,22,-1
26,27,-1
5,26,-1
28,15,-1
28,22,-1
28,29,-1
5,28,-1
4,5,-1
1,4,-1
33,30,-1
32,33,-1
31,32,-1
31,34,-1
36,30,-1
36,34,-1
35,36,-1
31,35,-1
30,31,-1
39,40,-1
39,30,-1
38,39,-1
41,42,-1
46,43,-1
45,46,-1
44,45,-1
44,47,-1
49,43,-1
49,47,-1
48,49,-1
44,48,-1
43,44,-1
52,53,-1
52,30,-1
51,52,-1
54,55,-1
54,43,-1
51,54,-1
50,51,-1
50,56,-1
50,57,-1
43,50,-1
58,51,-1
58,56,-1
58,59,-1
43,58,-1
41,43,-1
38,41,-1
60,61,-1
63,64,-1
63,62,-1
62,63,-1
65,64,-1
69,62,-1
68,69,-1
70,66,-1
68,70,-1
67,68,-1
67,71,-1
73,62,-1
73,71,-1
72,73,-1
74,66,-1
74,71,-1
72,74,-1
67,72,-1
66,67,-1
77,78,-1
77,30,-1
76,77,-1
79,80,-1
79,62,-1
76,79,-1
81,80,-1
81,66,-1
76,81,-1
75,76,-1
75,82,-1
75,83,-1
66,75,-1
84,76,-1
84,82,-1
84,85,-1
66,84,-1
65,66,-1
62,65,-1
86,87,-1
86,62,-1
62,86,-1
88,87,-1
88,66,-1
62,88,-1
60,62,-1
38,60,-1
89,61,-1
89,66,-1
38,89,-1
90,91,-1
90,21,-1
38,90,-1
37,38,-1
37,92,-1
37,93,-1
30,37,-1
94,38,-1
94,92,-1
94,95,-1
30,94,-1
96,38,-1
96,92,-1
96,97,-1
30,96,-1
